          Batch-Size                   d                 2^l     PyTorchTime(us)      cuBLASTime(us)          atTime(us)        CUDATime(us)     Speedup-Pytorch      Speedup-cublas
                  80                   4                   2              27.364              12.182              15.182              11.470               2.386               1.062
                  80                   5                   2              33.525              15.364              18.162              13.543               2.475               1.134
                  80                   6                   2              41.697              20.485              21.212              16.548               2.520               1.238
                  80                   7                   2              52.273              28.000              24.273              19.614               2.665               1.428
                  80                   8                   2              76.182              40.182              36.000              22.557               3.377               1.781
                  80                   9                   2              94.202              54.202              40.000              32.445               2.903               1.671
                  80                  10                   2             134.030              90.010              44.020              31.963               4.193               2.816
                  80                  11                   2             225.990             164.990              61.000              60.163               3.756               2.742
                  80                  12                   2             396.253             314.242              82.010             110.044               3.601               2.856
                  80                  13                   2             778.162             630.020             148.141             202.463               3.843               3.112
                  80                  14                   2             723.374             462.202             261.172             400.708               1.805               1.153
                  80                  15                   2            1867.232            1375.040             492.192             794.863               2.349               1.730
                  80                  16                   2            2969.323            1988.212             981.111            1567.822               1.894               1.268
                  80                  17                   2            6242.697            4068.737            2173.960            2903.928               2.150               1.401
                  80                  18                   2           13261.152            8554.414            4706.737            5880.608               2.255               1.455
                  80                  19                   2           27591.758           17820.212            9771.545           12166.591               2.268               1.465
                  80                  20                   2           57527.212           37221.677           20305.535           25410.999               2.264               1.465
                  80                  21                   2          120467.970           78151.495           42316.475           53168.720               2.266               1.470
                  80                   4                   4              31.091              16.000              15.091              10.517               2.956               1.521
                  80                   5                   4              54.000              30.000              24.000              13.680               3.947               2.193
                  80                   6                   4             130.566              86.263              44.303              42.401               3.079               2.034
                  80                   7                   4             388.323             245.273             143.051             148.827               2.609               1.648
                  80                   8                   4            1588.465            1044.283             544.182             650.752               2.441               1.605
                  80                   9                   4            7227.899            4362.616            2865.283            2713.319               2.664               1.608
                  80                  10                   4           31136.495           18941.293           12195.202           11872.594               2.623               1.595
                  80                   2                   8              17.000               8.000               9.000               5.989               2.839               1.336
                  80                   3                   8              27.202              15.000              12.202               9.818               2.771               1.528
                  80                   4                   8              62.354              32.121              30.232              20.901               2.983               1.537
                  80                   5                   8             413.879             225.000             188.879             209.520               1.975               1.074
                  80                   6                   8            4245.929            2020.212            2225.717            1802.794               2.355               1.121
                  80                   2                  16              17.071               8.000               9.071               7.316               2.333               1.093
                  80                   3                  16              46.091              21.010              25.081              15.877               2.903               1.323
                  80                   4                  16             564.242             262.061             302.182             227.196               2.484               1.153
                  80                   5                  16           13467.434            5239.657            8227.778            4146.136               3.248               1.264
                  80                   2                  32              24.000              12.000              12.000               9.951               2.412               1.206
                  80                   3                  32             223.990              93.444             130.545             100.438               2.230               0.930
                  80                   4                  32           10880.808            3637.172            7243.636            3583.744               3.036               1.015
                  80                   2                  64              37.465              17.465              20.000              34.468               1.087               0.507
                  80                   3                  64            2252.929             699.960            1552.970            1043.898               2.158               0.671
                  80                   2                 128             120.051              66.697              53.354             100.740               1.192               0.662
                  80                   3                 128           22395.606            9647.848           12747.758           13577.090               1.650               0.711
                  80                   2                 256             611.657             423.242             188.414             574.240               1.065               0.737
                  80                   2                 512            4540.374            3190.293            1350.081            4304.573               1.055               0.741
                  80                   2                1024           30180.949           24742.606            5438.343           31020.351               0.973               0.798
