          Batch-Size                   d                 2^l     PyTorchTime(us)      cuBLASTime(us)          atTime(us)        CUDATime(us)     Speedup-Pytorch      Speedup-cublas
                   4                   4                   2              27.121              12.121              15.000              11.107               2.442               1.091
                   4                   5                   2              33.364              15.364              18.000              13.316               2.506               1.154
                   4                   6                   2              39.414              18.273              21.141              16.427               2.399               1.112
                   4                   7                   2              45.545              21.364              24.182              18.810               2.421               1.136
                   4                   8                   2              51.535              24.333              27.202              22.150               2.327               1.099
                   4                   9                   2              57.929              27.636              30.293              24.278               2.386               1.138
                   4                  10                   2              64.889              31.697              33.192              28.835               2.250               1.099
                   4                  11                   2              80.202              44.000              36.202              46.545               1.723               0.945
                   4                  12                   2              87.717              48.000              39.717              78.039               1.124               0.615
                   4                  13                   2             133.727              78.212              55.515              90.203               1.483               0.867
                   4                  14                   2             175.879             115.879              60.000              99.313               1.771               1.167
                   4                  15                   2             259.606             195.000              64.606             106.879               2.429               1.824
                   4                  16                   2             424.808             338.061              86.747             145.652               2.917               2.321
                   4                  17                   2             804.838             664.465             140.374             254.781               3.159               2.608
                   4                  18                   2             747.768             485.677             262.091             453.606               1.648               1.071
                   4                  19                   2            1523.960            1028.919             495.040             862.186               1.768               1.193
                   4                  20                   2            2923.384            1966.071             957.313            1535.292               1.904               1.281
                   4                  21                   2            5876.636            3984.414            1892.222            3027.713               1.941               1.316
                   4                  22                   2           12684.960            8783.990            3900.970            6023.455               2.106               1.458
                   4                  23                   2           25184.949           17207.414            7977.535           12077.750               2.085               1.425
                   4                  24                   2           52476.232           35785.970           16690.263           25114.525               2.089               1.425
                   4                  25                   2          109677.192           75107.303           34569.889           51696.953               2.122               1.453
                   4                  26                   2          225867.212          154653.707           71213.505          107326.042               2.104               1.441
                   4                  27                   2          470686.283          322150.253          148536.030          221315.079               2.127               1.456
                   4                   4                   4              27.242              12.242              15.000              10.524               2.589               1.163
                   4                   5                   4              33.242              15.242              18.000              12.879               2.581               1.184
                   4                   6                   4              45.071              24.000              21.071              30.084               1.498               0.798
                   4                   7                   4              73.061              42.000              31.061              38.792               1.883               1.083
                   4                   8                   4             141.020              96.010              45.010              51.817               2.722               1.853
                   4                   9                   4             369.747             236.919             132.828             152.477               2.425               1.554
                   4                  10                   4            1471.576             965.545             506.030             655.238               2.246               1.474
                   4                  11                   4            6222.131            4159.273            2062.859            2735.456               2.275               1.521
                   4                  12                   4           26776.333           18059.424            8716.909           11726.304               2.283               1.540
                   4                  13                   4          115632.980           77963.020           37669.960           49811.958               2.321               1.565
                   4                   2                   8              17.000               8.000               9.000               5.252               3.237               1.523
                   4                   3                   8              24.000              12.000              12.000               8.410               2.854               1.427
                   4                   4                   8              31.010              16.000              15.010              18.046               1.718               0.887
                   4                   5                   8              54.000              30.000              24.000              26.353               2.049               1.138
                   4                   6                   8             232.020             126.010             106.010              89.325               2.597               1.411
                   4                   7                   8            1663.899             946.939             716.960             912.466               1.824               1.038
                   4                   8                   8           14605.869            8437.646            6168.222            7869.999               1.856               1.072
                   4                   9                   8          130894.697           75963.697           54931.000           68936.546               1.899               1.102
                   4                   2                  16              17.061               8.000               9.061               5.567               3.065               1.437
                   4                   3                  16              24.051              12.000              12.051              12.486               1.926               0.961
                   4                   4                  16              53.010              28.000              25.010              20.546               2.580               1.363
                   4                   5                  16             549.162             262.818             286.343             230.992               2.377               1.138
                   4                   6                  16            9575.505            4778.485            4797.020            3976.815               2.408               1.202
                   4                   2                  32              21.010              12.010               9.000               9.138               2.299               1.314
                   4                   3                  32              34.000              18.000              16.000              15.777               2.155               1.141
                   4                   4                  32             440.152             201.788             238.364             207.599               2.120               0.972
                   4                   5                  32           17934.505            7045.172           10889.333            7063.303               2.539               0.997
                   4                   2                  64              23.020              14.000               9.020              33.122               0.695               0.423
                   4                   3                  64             117.707              60.141              57.566              87.198               1.350               0.690
                   4                   4                  64           10160.545            2854.141            7306.404            4301.357               2.362               0.664
                   4                   2                 128              27.040              16.000              11.040              83.067               0.326               0.193
                   4                   3                 128             895.263             528.455             366.808             773.619               1.157               0.683
                   4                   2                 256              73.737              39.949              17.586              86.299               0.854               0.463
                   4                   3                 256           14071.121            7536.879            6534.242           10809.948               1.302               0.697
                   4                   2                 512             250.475             207.465              41.010             278.738               0.899               0.744
                   4                   3                 512          174577.939          119827.374           54738.525          163326.736               1.069               0.734
                   4                   2                1024            1699.374            1561.747             137.626            2289.978               0.742               0.682
