          Batch-Size                   d                 2^l     PyTorchTime(us)      cuBLASTime(us)          atTime(us)        CUDATime(us)     Speedup-Pytorch      Speedup-cublas
                 320                   4                   2              28.313              13.172              15.141              13.249               2.137               0.994
                 320                   5                   2              38.465              20.000              18.465              15.892               2.420               1.258
                 320                   6                   2              58.111              30.121              27.990              19.030               3.054               1.583
                 320                   7                   2              74.212              42.212              32.000              21.469               3.303               1.879
                 320                   8                   2             108.990              71.990              37.000              24.823               4.063               2.684
                 320                   9                   2             181.687             129.687              52.000              28.030               6.050               4.319
                 320                  10                   2             333.606             261.586              72.020              39.625               6.107               4.789
                 320                  11                   2             662.727             530.879             131.848              71.839               4.394               3.520
                 320                  12                   2             632.303             395.808             236.495             189.945               1.833               1.147
                 320                  13                   2            1632.667            1184.970             447.697             394.787               2.294               1.665
                 320                  14                   2            2568.818            1681.313             887.505             801.977               1.978               1.294
                 320                  15                   2            5393.737            3557.051            1836.687            1636.835               2.103               1.387
                 320                  16                   2           12076.606            7627.899            4448.707            3392.253               2.302               1.454
                 320                  17                   2           27951.879           17004.434           10947.444            7211.745               2.544               1.548
                 320                  18                   2           57431.212           33519.152           23912.061           14913.290               2.512               1.466
                 320                  19                   2          121031.606           71047.192           49984.414           31323.691               2.518               1.478
                 320                  20                   2          253659.828          150488.859          103170.970           65769.357               2.515               1.492
                 320                  21                   2          509681.242          312783.444          196897.798          138644.645               2.404               1.475
                 320                   4                   4              45.000              24.000              21.000              13.643               3.298               1.759
                 320                   5                   4             103.687              66.444              37.242              20.758               4.995               3.201
                 320                   6                   4             323.929             194.535             129.394             98.839               2.703               1.623
                 320                   7                   4            1367.970             860.212             507.758             397.164               2.403               1.511
                 320                   8                   4            6706.465            3889.909            2816.556            1690.063               2.764               1.603
                 320                   9                   4           33686.505           17070.051           16616.455            7383.848               3.159               1.601
                 320                  10                   4          146212.667           75621.768           70590.899           32597.187               3.086               1.596
                 320                   2                   8              17.101               8.010               9.091               6.465               2.645               1.239
                 320                   3                   8              36.071              18.010              18.061              12.508               2.884               1.440
                 320                   4                   8             196.394              99.071              97.323              60.362               2.606               1.315
                 320                   5                   8            1638.727             849.485             789.242             538.023               2.123               1.100
                 320                   6                   8           22156.030            8011.616           14144.414            4944.862               3.111               1.125
                 320                   2                  16              25.000              12.000              13.000               8.772               2.850               1.368
                 320                   3                  16             136.960              57.051              79.909              40.528               3.379               1.408
                 320                   4                  16            2995.061            1027.939            1967.121             840.942               3.562               1.222
                 320                   5                  16           74444.717           20259.687           54185.030           17401.775               4.278               1.164
                 320                   2                  32              36.020              14.000              22.020              13.052               2.760               1.073
                 320                   3                  32             903.172             339.212             563.960             348.251               2.593               0.974
                 320                   4                  32           65051.727           14170.404           50881.323           14700.133               4.308               0.938
                 320                   2                  64             105.081              42.747              62.333              50.751               2.1                 0.84
                 320                   3                  64           14415.040            2778.404           11636.636            3277.553               4.390               0.847
                 320                   2                 128             452.505             233.465             219.040             297.488               1.520               0.784
                 320                   3                 128          117403.182           38481.939           78921.242           43061.123               2.72                0.893
                 320                   2                 256            3142.414            1620.364            1522.051            2420.000               1.36                0.7
                 320                   2                 512           23424.485           12663.182           10761.303           17341.684               1.351               0.730
                 320                   2                1024          143023.202           98711.586           44311.616          124848.000               1.146               0.791
